checking_sttus,durtion_new,credit_history,purpose,credit_mount,credit_mount_new,svings_sttus,employment,instllment_commitment,personl_sttus,other_prties,residence_since,property_mgnitude,ge,other_pyment_plns,housing,existing_credits,job,own_telephone,foreign_worker,clss
11,6,34,43,1169,1,65,75,4,93,101,4,121,67,143,152,2,173,192,201,1
12,48,32,43,5951,2,61,73,2,92,101,2,121,22,143,152,1,173,191,201,2
14,12,34,43,2096,1,61,74,2,93,101,3,121,49,143,152,1,172,191,201,1
11,42,32,43,7882,3,61,74,2,93,103,4,122,45,143,153,1,173,191,201,1
11,24,33,40,4870,2,61,73,3,93,101,4,124,53,143,153,2,173,191,201,2
14,20.863454,32,43,9055,3,65,73,2,93,101,4,124,35,143,153,1,172,192,201,1
14,24,32,42,2835,1,63,75,3,93,101,4,122,53,143,152,1,173,191,201,1
12,36,32,41,6948,3,61,73,2,93,101,2,123,35,143,151,1,174,192,201,1
14,12,32,43,3059,1,64,74,2,91,101,4,121,61,143,152,1,172,191,201,1
12,30,34,43,5234,2,61,71,4,94,101,2,123,28,143,152,2,174,191,201,2
12,12,32,40,1295,1,61,72,3,92,101,1,123,25,143,151,1,173,191,201,2
11,20.863454,32,49,4308,2,61,72,3,92,101,4,122,24,143,151,1,173,191,201,2
12,12,32,43,1567,1,61,73,1,92,101,1,123,22,143,152,1,173,192,201,1
11,24,34,40,1199,1,61,75,4,93,101,4,123,60,143,152,2,172,191,201,2
11,20.863454,32,40,1403,1,61,73,2,92,101,4,123,28,143,151,1,173,191,201,1
11,24,32,43,1282,1,62,73,4,92,101,2,123,32,143,152,1,172,191,201,2
14,20.863454,34,43,2424,1,65,75,4,93,101,4,122,53,143,152,2,173,191,201,1
11,30,30,49,8072,3,65,72,2,93,101,3,123,25,141,152,3,173,191,201,1
12,24,32,41,12579,4,61,75,4,92,101,2,124,44,143,153,1,174,192,201,2
14,24,32,43,3430,1,63,75,3,93,101,2,123,31,143,152,1,173,192,201,1
14,9,34,40,2134,1,61,73,4,93,101,4,123,48,143,152,3,173,192,201,1
11,6,32,43,2647,1,63,73,2,93,101,3,121,44,143,151,1,173,191,201,1
11,10,34,40,2241,1,61,72,1,93,101,3,121,48,143,151,2,172,191,202,1
12,12,34,41,1804,1,62,72,3,93,101,4,122,44,143,152,1,173,191,201,1
14,10,34,42,2069,1,65,73,2,94,101,1,123,26,143,152,2,173,191,202,1
11,6,32,42,1374,1,61,73,1,93,101,2,121,36,141,152,1,172,192,201,1
14,6,30,43,426,1,61,75,4,94,101,4,123,39,143,152,1,172,191,201,1
13,12,31,43,409,1,64,73,3,92,101,3,121,42,143,151,2,173,191,201,1
12,7,32,43,2415,1,61,73,3,93,103,2,121,34,143,152,1,173,191,201,1
11,56.9,33,49,6836,3,61,75,3,93,101,4,124,63,143,152,2,173,192,201,2
12,18,32,49,1913,1,64,72,3,94,101,3,121,36,141,152,1,173,192,201,1
11,24,32,42,4020,2,61,73,2,93,101,2,123,27,142,152,1,173,191,201,1
12,18,32,40,5866,2,62,73,2,93,101,2,123,30,143,152,2,173,192,201,1
14,12,34,49,1264,1,65,75,4,93,101,4,124,57,143,151,1,172,191,201,1
13,12,32,42,1474,1,61,72,4,92,101,1,122,33,141,152,1,174,192,201,1
12,45,34,43,4746,2,61,72,4,93,101,2,122,25,143,152,2,172,191,201,2
14,48,34,46,6110,2,61,73,1,93,101,3,124,31,141,153,1,173,192,201,1
13,18,32,43,2100,1,61,73,4,93,102,2,121,37,142,152,1,173,191,201,2
13,10,32,44,1225,1,61,73,2,93,101,2,123,37,143,152,1,173,192,201,1
12,9,32,43,458,1,61,73,4,93,101,3,121,24,143,152,1,173,191,201,1
14,30,32,43,2333,1,63,75,4,93,101,2,123,30,141,152,1,174,191,201,1
12,12,32,43,1158,1,63,73,3,91,101,1,123,26,143,152,1,173,192,201,1
12,18,33,45,6204,2,61,73,2,93,101,4,121,44,143,152,1,172,192,201,1
11,30,34,41,6187,2,62,74,1,94,101,4,123,24,143,151,2,173,191,201,1
11,48,34,41,6143,2,61,75,4,92,101,4,124,58,142,153,2,172,191,201,2
14,11,34,40,1393,1,61,72,4,92,101,4,123,35,143,152,2,174,191,201,1
14,36,32,43,2299,1,63,75,4,93,101,4,123,39,143,152,1,173,191,201,1
11,6,32,41,1352,1,63,71,1,92,101,2,122,23,143,151,1,171,192,201,1
14,11,34,40,7228,3,61,73,1,93,101,4,122,39,143,152,2,172,191,201,1
14,12,32,43,2073,1,62,73,4,92,102,2,121,28,143,152,1,173,191,201,1
12,24,33,42,2333,1,65,72,4,93,101,2,122,29,141,152,1,172,191,201,1
12,27,33,41,5965,2,61,75,1,93,101,2,123,30,143,152,2,174,192,201,1
14,12,32,43,1262,1,61,73,3,93,101,2,123,25,143,152,1,173,191,201,1
14,18,32,41,3378,1,65,73,2,93,101,1,122,31,143,152,1,173,192,201,1
12,36,33,40,2225,1,61,75,4,93,101,4,124,57,141,153,2,173,192,201,2
14,6,31,40,783,1,65,73,1,93,103,2,121,26,142,152,1,172,191,201,1
12,12,32,43,6468,2,65,71,2,93,101,1,124,52,143,152,1,174,192,201,2
14,36,34,43,9566,3,61,73,2,92,101,2,123,31,142,152,2,173,191,201,1
13,18,32,40,1961,1,61,75,3,92,101,2,123,23,143,152,1,174,191,201,1
11,36,34,42,6229,2,61,72,4,92,102,4,124,23,143,151,2,172,192,201,2
12,9,32,49,1391,1,61,73,2,94,101,1,121,27,141,152,1,173,192,201,1
12,15,34,43,1537,1,65,75,4,93,103,4,121,50,143,152,2,173,192,201,1
12,36,30,49,1953,1,61,75,4,93,101,4,124,61,143,153,1,174,192,201,2
12,48,30,49,14421,4,61,73,2,93,101,2,123,25,143,152,1,173,192,201,2
14,24,32,43,3181,1,61,72,4,92,101,4,122,26,143,152,1,173,192,201,1
14,27,32,45,5190,2,65,75,4,93,101,4,122,48,143,152,4,173,192,201,1
14,12,32,43,2171,1,61,72,2,92,101,2,123,29,141,152,1,173,191,201,1
12,12,32,40,1007,1,64,73,4,94,101,1,121,22,143,152,1,173,191,201,1
14,36,32,46,1819,1,61,73,4,93,101,4,124,37,142,153,1,173,192,201,2
14,36,32,43,2394,1,65,73,4,92,101,4,123,25,143,152,1,173,191,201,1
14,36,32,41,8133,3,61,73,1,92,101,2,122,30,141,152,1,173,191,201,1
14,7,34,43,730,1,65,75,4,93,101,2,122,46,143,151,2,172,192,201,1
11,8,34,410,1164,1,61,75,3,93,101,4,124,51,141,153,2,174,192,201,1
12,42,34,49,5954,2,61,74,2,92,101,1,121,41,141,152,2,172,191,201,1
11,36,32,46,1977,1,65,75,4,93,101,4,124,40,143,152,1,174,192,201,2
11,12,34,41,1526,1,61,75,4,93,101,4,124,66,143,153,2,174,191,201,1
11,42,32,43,3965,2,61,72,4,93,101,3,123,34,143,152,1,173,191,201,2
12,11,33,43,4771,2,61,74,2,93,101,4,122,51,143,152,1,173,191,201,1
14,54,30,41,9436,3,65,73,2,93,101,2,122,39,143,152,1,172,191,201,1
12,30,32,42,3832,1,61,72,2,94,101,1,122,22,143,152,1,173,191,201,1
14,24,32,43,5943,2,65,72,1,92,101,1,123,44,143,152,2,173,192,201,2
14,15,32,43,1213,1,63,75,4,93,101,3,122,47,142,152,1,173,192,201,1
14,18,32,49,1568,1,62,73,3,92,101,4,122,24,143,151,1,172,191,201,1
11,24,32,410,1755,1,61,75,4,92,103,4,121,58,143,152,1,172,192,201,1
11,10,32,43,2315,1,61,75,3,93,101,4,121,52,143,152,1,172,191,201,1
14,12,34,49,1412,1,61,73,4,92,103,2,121,29,143,152,2,174,192,201,1
12,18,34,42,1295,1,61,72,4,92,101,1,122,27,143,152,2,173,191,201,1
12,36,32,46,12612,4,62,73,1,93,101,4,124,47,143,153,1,173,192,201,2
11,18,32,40,2249,1,62,74,4,93,101,3,123,30,143,152,1,174,192,201,1
11,12,30,45,1108,1,61,74,4,93,101,3,121,28,143,152,2,173,191,201,2
14,12,34,43,618,1,61,75,4,93,101,4,121,56,143,152,1,173,191,201,1
11,12,34,41,1409,1,61,75,4,93,101,3,121,54,143,152,1,173,191,201,1
14,12,34,43,797,1,65,75,4,92,101,3,122,33,141,152,1,172,191,201,2
13,24,34,42,3617,1,65,75,4,93,102,4,124,20,143,151,2,173,191,201,1
12,12,32,40,1318,1,64,75,4,93,101,4,121,54,143,152,1,173,192,201,1
12,54,30,49,15945,4,61,72,3,93,101,4,124,58,143,151,1,173,192,201,2
14,12,34,46,2012,1,65,74,4,92,101,2,123,61,143,152,1,173,191,201,1
12,18,32,49,2622,1,62,73,4,93,101,4,123,34,143,152,1,173,191,201,1
12,36,34,43,2337,1,61,75,4,93,101,4,121,36,143,152,1,173,191,201,1
12,20,33,41,7057,3,65,74,3,93,101,4,122,36,141,151,2,174,192,201,1
14,24,32,40,1469,1,62,75,4,94,101,4,121,41,143,151,1,172,191,201,1
12,36,32,43,2323,1,61,74,4,93,101,4,123,24,143,151,1,173,191,201,1
14,6,33,43,932,1,61,73,3,92,101,2,121,24,143,152,1,173,191,201,1
12,9,34,42,1919,1,61,74,4,93,101,3,123,35,143,151,1,173,192,201,1
14,12,32,41,2445,1,65,72,2,94,101,4,123,26,143,151,1,173,192,201,1
12,24,34,410,11938,3,61,73,2,93,102,3,123,39,143,152,2,174,192,201,2
14,18,31,40,6458,2,61,75,2,93,101,4,124,39,141,152,2,174,192,201,2
12,12,32,40,6078,2,61,74,2,93,101,2,123,32,143,152,1,173,191,201,1
11,24,32,42,7721,3,65,72,1,92,101,2,122,30,143,152,1,173,192,202,1
12,14,32,49,1410,1,63,75,1,94,101,2,121,35,143,152,1,173,192,201,1
12,6,33,49,1449,1,62,75,1,91,101,2,123,31,141,152,2,173,191,201,1
13,15,32,46,392,1,61,72,4,92,101,4,122,23,143,151,1,173,192,201,1
12,18,32,40,6260,2,61,74,3,93,101,3,121,28,143,151,1,172,191,201,1
14,36,34,40,7855,3,61,73,4,92,101,2,121,25,142,152,2,173,192,201,2
11,12,32,43,1680,1,63,75,3,94,101,1,121,35,143,152,1,173,191,201,1
14,48,34,43,3578,1,65,75,4,93,101,1,121,47,143,152,1,173,192,201,1
11,42,32,43,7174,3,65,74,4,92,101,3,123,30,143,152,1,174,192,201,2
11,10,34,42,2132,1,65,72,2,92,102,3,121,27,143,151,2,173,191,202,1
11,33,34,42,4281,2,63,73,1,92,101,4,123,23,143,152,2,173,191,201,2
12,12,34,40,2366,1,63,74,3,91,101,3,123,36,143,152,1,174,192,201,1
11,21,32,43,1835,1,61,73,3,92,101,2,121,25,143,152,2,173,192,201,2
14,24,34,41,3868,1,61,75,4,92,101,2,123,41,143,151,2,174,192,201,1
14,12,32,42,1768,1,61,73,3,93,101,2,121,24,143,151,1,172,191,201,1
13,10,34,40,781,1,61,75,4,93,101,4,124,63,143,153,2,173,192,201,1
12,18,32,42,1924,1,65,72,4,92,101,3,121,27,143,151,1,173,191,201,2
11,12,34,40,2121,1,61,73,4,93,101,2,122,30,143,152,2,173,191,201,1
11,12,32,43,701,1,61,73,4,94,101,2,121,40,143,152,1,172,191,201,1
12,12,32,45,639,1,61,73,4,93,101,2,123,30,143,152,1,173,191,201,2
12,12,34,41,1860,1,61,71,4,93,101,2,123,34,143,152,2,174,192,201,1
11,12,34,40,3499,1,61,73,3,92,102,2,121,29,143,152,2,173,191,201,2
12,48,32,40,8487,3,65,74,1,92,101,2,123,24,143,152,1,173,191,201,1
11,36,33,46,6887,3,61,73,4,93,101,3,122,29,142,152,1,173,192,201,2
14,15,32,42,2708,1,61,72,2,93,101,3,122,27,141,152,2,172,191,201,1
14,18,32,42,1984,1,61,73,4,93,101,4,124,47,141,153,2,173,191,201,1
14,56.9,32,43,10144,3,62,74,2,92,101,4,121,21,143,152,1,173,192,201,1
14,12,34,43,1240,1,65,75,4,92,101,2,121,38,143,152,2,173,192,201,1
14,27,33,41,8613,3,64,73,2,93,101,2,123,27,143,152,2,173,191,201,1
12,12,32,43,766,1,63,73,4,93,101,3,121,66,143,152,1,172,191,201,2
12,15,34,43,2728,1,65,74,4,93,103,2,121,35,141,152,3,173,192,201,1
13,12,32,43,1881,1,61,73,2,92,101,2,123,44,143,151,1,172,192,201,1
13,6,32,40,709,1,64,72,2,94,101,2,121,27,143,152,1,171,191,202,1
12,36,32,43,4795,2,61,72,4,92,101,1,124,30,143,152,1,174,192,201,1
11,27,32,43,3416,1,61,73,3,93,101,2,123,27,143,152,1,174,191,201,1
11,18,32,42,2462,1,61,73,2,93,101,2,123,22,143,152,1,173,191,201,2
14,21,34,42,2288,1,61,72,4,92,101,4,122,23,143,152,1,173,192,201,1
12,48,31,49,3566,1,62,74,4,93,101,2,123,30,143,152,1,173,191,201,1
11,6,34,40,860,1,61,75,1,92,101,4,124,39,143,152,2,173,192,201,1
14,12,34,40,682,1,62,74,4,92,101,3,123,51,143,152,2,173,192,201,1
11,36,34,42,5371,2,61,73,3,93,103,2,122,28,143,152,2,173,191,201,1
14,18,34,43,1582,1,64,75,4,93,101,4,123,46,143,152,2,173,191,201,1
14,6,32,43,1346,1,62,75,2,93,101,4,124,42,141,153,1,173,192,201,1
14,10,32,43,1924,1,61,73,1,93,101,4,122,38,143,152,1,173,192,202,1
13,36,32,43,5848,2,61,73,4,93,101,1,123,24,143,152,1,173,191,201,1
12,24,34,41,7758,3,64,75,2,92,101,4,124,29,143,151,1,173,191,201,1
12,24,33,49,6967,3,62,74,4,93,101,4,123,36,143,151,1,174,192,201,1
11,12,32,42,1282,1,61,73,2,92,101,4,123,20,143,151,1,173,191,201,2
11,9,34,45,1288,1,62,75,3,93,103,4,121,48,143,152,2,173,191,202,1
11,12,31,48,339,1,61,75,4,94,101,1,123,45,141,152,1,172,191,201,1
12,24,32,40,3512,1,62,74,2,93,101,3,123,38,141,152,2,173,192,201,1
14,6,34,43,1898,1,65,73,1,93,101,2,121,34,143,152,2,172,191,201,1
14,24,34,43,2872,1,62,75,3,93,101,4,121,36,143,152,1,173,192,201,1
14,18,34,40,1055,1,61,72,4,92,101,1,122,30,143,152,2,173,191,201,1
14,15,32,44,1262,1,63,74,4,93,101,3,122,36,143,152,2,173,192,201,1
12,10,32,40,7308,3,61,71,2,93,101,4,124,70,141,153,1,174,192,201,1
14,36,32,40,909,1,63,75,4,93,101,4,122,36,143,152,1,173,191,201,1
14,6,32,42,2978,1,63,73,1,93,101,2,123,32,143,152,1,173,192,201,1
11,18,32,42,1131,1,61,71,4,92,101,2,123,33,143,152,1,173,191,201,2
12,11,32,42,1577,1,64,72,4,92,101,1,121,20,143,152,1,173,191,201,1
14,24,32,42,3972,2,61,74,2,92,101,4,122,25,143,151,1,173,192,201,1
12,24,34,49,1935,1,61,75,4,91,101,4,121,31,143,152,2,173,192,201,2
11,15,30,40,950,1,61,75,4,93,101,3,123,33,143,151,2,173,191,201,2
14,12,32,42,763,1,61,73,4,92,101,1,121,26,143,152,1,173,192,201,1
12,24,33,42,2064,1,61,71,3,92,101,2,122,34,143,152,1,174,192,201,2
12,8,32,43,1414,1,61,73,4,93,103,2,121,33,143,152,1,173,191,202,1
11,21,33,46,3414,1,61,72,2,93,101,1,122,26,143,152,2,173,191,201,2
14,30,31,41,7485,3,65,71,4,92,101,1,121,53,141,152,1,174,192,201,2
11,12,32,42,2577,1,61,73,2,91,101,1,123,42,143,152,1,173,191,201,1
11,6,34,43,338,1,63,75,4,93,101,4,123,52,143,152,2,173,191,201,1
14,12,32,43,1963,1,61,74,4,93,101,2,123,31,143,151,2,174,192,201,1
11,21,34,40,571,1,61,75,4,93,101,4,121,65,143,152,2,173,191,201,1
14,36,33,49,9572,3,61,72,1,91,101,1,123,28,143,152,2,173,191,201,2
12,36,33,49,4455,2,61,73,2,91,101,2,121,30,142,152,2,174,192,201,2
11,21,31,40,1647,1,65,73,4,93,101,2,122,40,143,152,2,172,191,201,2
14,24,34,42,3777,1,64,73,4,93,101,4,121,50,143,152,1,173,192,201,1
12,18,34,40,884,1,61,75,4,93,101,4,123,36,141,152,1,173,192,201,2
14,15,34,43,1360,1,61,73,4,93,101,2,122,31,143,152,2,173,191,201,1
12,9,31,41,5129,2,61,75,2,92,101,4,124,74,141,153,1,174,192,201,2
12,16,34,40,1175,1,61,71,2,93,101,3,123,68,143,153,3,171,192,201,1
11,12,32,43,674,1,62,74,4,94,101,1,122,20,143,152,1,173,191,201,2
12,18,30,42,3244,1,61,73,1,92,101,4,123,33,141,152,2,173,192,201,1
14,24,32,49,4591,2,64,73,2,93,101,3,122,54,143,152,3,174,192,201,2
12,48,30,49,3844,1,62,74,4,93,101,4,124,34,143,153,1,172,191,201,2
12,27,32,49,3915,2,61,73,4,93,101,2,123,36,143,152,1,173,192,201,2
14,6,32,43,2108,1,61,74,2,94,101,2,121,29,143,151,1,173,191,201,1
12,45,32,43,3031,1,62,73,4,93,103,4,122,21,143,151,1,173,191,201,2
12,9,34,46,1501,1,61,75,2,92,101,3,123,34,143,152,2,174,192,201,2
14,6,34,43,1382,1,61,73,1,92,101,1,123,28,143,152,2,173,192,201,1
12,12,32,42,951,1,62,72,4,92,101,4,123,27,141,151,4,173,191,201,2
12,24,32,41,2760,1,65,75,4,93,101,4,124,36,141,153,1,173,192,201,1
12,18,33,42,4297,2,61,75,4,91,101,3,124,40,143,152,1,174,192,201,2
14,9,34,46,936,1,63,75,4,93,101,2,123,52,143,152,2,173,192,201,1
11,12,32,40,1168,1,61,73,4,94,101,3,121,27,143,152,1,172,191,201,1
14,27,33,49,5117,2,61,74,3,93,101,4,123,26,143,152,2,173,191,201,1
11,12,32,48,902,1,61,74,4,94,101,4,122,21,143,151,1,173,191,201,2
14,12,34,40,1495,1,61,75,4,93,101,1,121,38,143,152,2,172,191,201,1
11,30,34,41,10623,3,61,75,3,93,101,4,124,38,143,153,3,174,192,201,1
14,12,34,42,1935,1,61,75,4,93,101,4,121,43,143,152,3,173,192,201,1
12,12,34,44,1424,1,61,74,4,93,101,3,122,26,143,152,1,173,191,201,1
11,24,32,49,6568,2,61,73,2,94,101,2,123,21,142,152,1,172,191,201,1
14,12,32,41,1413,1,64,74,3,93,101,2,122,55,143,152,1,173,191,202,1
14,9,34,43,3074,1,65,73,1,93,101,2,121,33,143,152,2,173,191,201,1
14,36,32,43,3835,1,65,75,2,92,101,4,121,45,143,152,1,172,192,201,1
11,27,30,49,5293,2,61,71,2,93,101,4,122,50,142,152,2,173,192,201,2
13,30,33,49,1908,1,61,75,4,93,101,4,121,66,143,152,1,174,192,201,2
14,36,34,43,3342,1,65,75,4,93,101,2,123,51,143,152,1,173,192,201,1
12,6,34,48,932,1,65,74,1,92,101,3,122,39,143,152,2,172,191,201,1
11,18,30,49,3104,1,61,74,3,93,101,1,122,31,141,152,1,173,192,201,1
13,36,32,43,3913,2,61,73,2,93,101,2,121,23,143,152,1,173,192,201,1
11,24,32,42,3021,1,61,73,2,91,101,2,121,24,143,151,1,172,191,201,1
14,10,32,40,1364,1,61,73,2,92,101,4,123,64,143,152,1,173,192,201,1
12,12,32,43,625,1,61,72,4,94,103,1,121,26,141,152,1,172,191,201,1
11,12,32,46,1200,1,65,73,4,92,101,4,122,23,141,151,1,173,192,201,1
14,12,32,43,707,1,61,73,4,93,101,2,121,30,141,152,2,173,191,201,1
14,24,33,49,2978,1,65,73,4,93,101,4,121,32,143,152,2,173,192,201,1
14,15,32,41,4657,2,61,73,3,93,101,2,123,30,143,152,1,173,192,201,1
14,36,30,45,2613,1,61,73,4,93,101,2,123,27,143,152,2,173,191,201,1
12,48,32,43,10961,3,64,74,1,93,102,2,124,27,141,152,2,173,192,201,2
11,12,32,42,7865,3,61,75,4,93,101,4,124,53,143,153,1,174,192,201,2
14,9,32,43,1478,1,61,74,4,93,101,2,123,22,143,152,1,173,191,201,2
11,24,32,42,3149,1,61,72,4,93,101,1,124,22,141,153,1,173,191,201,1
13,36,32,43,4210,2,61,73,4,93,101,2,123,26,143,152,1,173,191,201,2
14,9,32,40,2507,1,63,75,2,93,101,4,124,51,143,153,1,172,191,201,1
14,12,32,43,2141,1,62,74,3,93,101,1,124,35,143,152,1,173,191,201,1
12,18,32,43,866,1,61,73,4,94,103,2,121,25,143,152,1,172,191,201,1
14,4,34,43,1544,1,61,74,2,93,101,1,121,42,143,152,3,172,191,201,1
11,24,32,43,1823,1,61,71,4,93,101,2,123,30,142,152,1,174,191,201,2
12,6,32,40,14555,4,65,71,1,93,101,2,122,23,143,152,1,171,192,201,2
12,21,32,49,2767,1,62,75,4,91,101,2,123,61,141,151,2,172,191,201,2
14,12,34,43,1291,1,61,73,4,92,101,2,122,35,143,152,2,173,191,201,1
11,30,32,43,2522,1,61,75,1,93,103,3,122,39,143,152,1,173,191,201,1
11,24,32,40,915,1,65,75,4,92,101,2,123,29,141,152,1,173,191,201,2
14,6,32,43,1595,1,61,74,3,93,101,2,122,51,143,152,1,173,191,201,1
11,48,30,41,4605,2,61,75,3,93,101,4,124,24,143,153,2,173,191,201,2
14,12,34,49,1185,1,61,73,3,92,101,2,121,27,143,152,2,173,191,201,1
14,12,31,48,3447,1,63,73,4,92,101,3,121,35,143,152,1,172,191,201,1
14,24,32,49,1258,1,61,74,4,93,101,1,121,25,143,152,1,173,192,201,1
